"#","Question","Hint","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"1","لتكن المتتالية الحسابية (uₙ)ₙ gₑ ₀ التي حدها الأول u₀ = 5 وأساسها r = 3. ما هو مجموع الحدود العشرة الأولى من هذه المتتالية؟","تذكر قانون مجموع متتالية حسابية الذي يعتمد على الحد الأول، الحد الأخير، وعدد الحدود.","195","155","185","320","C. 185","يتم حساب المجموع باستخدام القانون S = (n)/(2)(u₀ + uₙ₋₁). بما أن الحد العاشر هو u₉ = 5 + 9(3) = 32، فإن المجموع هو ¹⁰⁄₂(5 + 32) = 185."
"2","إذا كانت المتتالية (uₙ)ₙ gₑ ₀ معرفة وفق uₙ = (2n - 1)/(n + 4). ادرس جهة اطراد هذه المتتالية بدءاً من n=0.","فكر في دراسة التابع المرتبط f(x) وحساب مشتقته لتحديد جهة الاطراد.","متناقصة تماماً","متزايدة تماماً","غير مطردة","ثابتة","B. متزايدة تماماً","عند دراسة إشارة الفرق uₙ₊₁ - uₙ أو دراسة مشتق التابع المرتبط f(x) = (2x-1)/(x+4)، نجد أن المشتق هو f'(x) = (9)/((x+4)²) وهو موجب دائماً."
"3","في الإثبات بالتدريج لخاصة ما E(n)، ما هي الخطوة الحاسمة التي نثبت فيها صحة القضية لجميع القيم؟","تذكر تشبيه السلم؛ للوصول إلى أي درجة، يجب أن نتمكن من الانتقال من درجة إلى التي تليها.","حساب قيمة E(100) للتأكد من استمراريتها","افتراض أن القضية خاطئة ومحاولة إيجاد تناقض","إثبات أن صحة E(p) تقتضي صحة E(p+1) لأي p ≥ n₀","التحقق من صحة E(n₀) فقط","C. إثبات أن صحة E(p) تقتضي صحة E(p+1) لأي p ≥ n₀","هذه الخطوة هي جوهر الاستقراء الرياضي، حيث نثبت انتقال الصفة من حد إلى الحد الذي يليه مباشرة."
"4","أوجد نهاية التابع f(x) = (5x³ - 3x - 1)/(8x⁴ - 12x² + 5x) عندما x تسعى إلى +∞.","قارن بين أعلى أس في البسط وأعلى أس في المقام عند دراسة النهاية في اللانهاية.","0","-∞","⅝","+∞","A. 0","في التوابع الكسرية المسيطرة عند اللانهاية، إذا كانت درجة المقام أكبر من درجة البسط، فإن النهاية تكون صفراً."
"5","لتكن المتتالية الهندسية (uₙ)ₙ gₑ ₀ أساسها q=2 وحدها الأول u₀=3. ما هي قيمة الحد u₅؟","استخدم صيغة الحد العام للمتتالية الهندسية التي تتضمن الرفع إلى القوة n.","48","15","96","30","C. 96","باستخدام قانون الحد العام للمتتالية الهندسية uₙ = u₀ · qⁿ، نجد أن u₅ = 3 · 2⁵ = 3 · 32 = 96."
"6","ما هو ميل المماس للتابع f(x) = x² + 3x + 1 عند النقطة التي فاصلتها x = 1؟","ميل المماس لمنحنى تابع عند نقطة هو قيمة المشتق الأول لذلك التابع عند فاصلة تلك النقطة.","3","1","2","5","D. 5","ميل المماس هو قيمة المشتق عند النقطة المعطاة؛ f'(x) = 2x + 3 وبالتعويض بـ x=1 نحصل على 2(1) + 3 = 5."
"7","عند دراسة نهاية التابع f(x) = (sin x)/(x) عندما تسعى x إلى +∞، أي مبرهنة نستخدم؟","تذكر أن التوابع المثلثية مثل sin و cos هي توابع محصورة بين قيمتين ثابتتين.","التعويض المباشر","مبرهنة تعريف المشتق","مبرهنة القيمة الوسطى","مبرهنة الإحاطة (المقارنة)","D. مبرهنة الإحاطة (المقارنة)","بما أن -1 ≤ sin x ≤ 1، فإننا نحصر التابع بين -1/x و 1/x اللذين يسعيان للصفر عند اللانهاية."
"8","إذا كان للمنحنى Cf مقارب مائل معادلته y = ax + b عند +∞، فماذا تساوي limₓ \ₜₒ ₊\ᵢₙfₜy (f(x) - (ax + b))؟","فكر في معنى كلمة 'مقارب' هندسياً وكيف تتصرف المسافة بين المنحنى والمستقيم.","+∞","0","قيمة ثابتة c ≠ 0","1","B. 0","تعريف المقارب المائل ينص على أن المسافة العمودية بين المنحنى والمستقيم تؤول إلى الصفر عندما يبتعد x إلى اللانهاية."
"9","ما هو مشتق التابع المركب h(x) = (f(x))ⁿ؟","تذكر قاعدة السلسلة (Chain Rule) التي تتطلب اشتقاق 'الغلاف' الخارجي ثم 'اللب' الداخلي.","n · (f(x))ⁿ⁻¹ · f'(x)","(f'(x))ⁿ⁻¹","f'(x)ⁿ","n · (f(x))ⁿ⁻¹","A. n · (f(x))ⁿ⁻¹ · f'(x)","هذا هو قانون اشتقاق القوة لتابع، حيث نضرب في الأس ونطرح منه واحداً ثم نضرب في مشتق ما داخل القوة."
"10","أي من الحالات التالية تسمى 'حالة عدم تعيين' عند حساب النهايات؟","ابحث عن العمليات التي لا يمكن التنبؤ بنتيجتها مباشرة دون دراسة إضافية.","∞ + ∞","(0)/(∞)","(∞)/(0)","(∞)/(∞)","D. (∞)/(∞)","تعتبر هذه الحالة عدم تعيين لأن النتيجة تعتمد على سرعة نمو كل من البسط والمقام."
"11","لتكن المتتالية uₙ₊₁ = √(2 + uₙ) مع u₀ = 1. أثبت بالتدريج أن uₙ < 2 لجميع n ≥ 0. ما هي الخطوة الصحيحة لإثبات الانتقال من p إلى p+1؟","استخدم علاقة التراجع المعطاة وحاول بناء uₚ₊₁ انطلاقاً من الفرضية uₚ.","نعوض n=0 و n=1 ونكتفي بذلك","نطرح uₚ من الطرفين لنحصل على القيمة المطلوبة","نربع الطرفين أولاً قبل البدء بالفرضية","نبدأ من الفرض uₚ < 2 ثم نضيف 2 للطرفين ونجذر","D. نبدأ من الفرض uₚ < 2 ثم نضيف 2 للطرفين ونجذر","بما أن uₚ < 2 فإن 2+uₚ < 4 وبأخذ الجذر التربيعي للطرفين نجد أن √(2+uₚ) < √(4) أي uₚ₊₁ < 2."
"12","إذا كان f تابعاً مستمراً على المجال [a, b] وكان f(a) · f(b) < 0، فماذا نستنتج حسب مبرهنة القيمة الوسطى؟","فكر فيما يحدث لمنحنى تابع عندما ينتقل من تحت محور الفواصل إلى فوقه دون انقطاع.","التابع غير معرف عند النقطة المنتصف","التابع متزايد تماماً على المجال","يوجد على الأقل جذر c في المجال ]a, b[ يحقق f(c) = 0","التابع يمتلك قيمة كبرى محليا فقط","C. يوجد على الأقل جذر c في المجال ]a, b[ يحقق f(c) = 0","تغير إشارة التابع المستمر بين طرفي مجال يضمن مروره بالقيمة صفر مرة واحدة على الأقل."
"13","ما هي نهاية المتتالية uₙ = (0.5)ⁿ + 3 عندما تسعى n إلى +∞؟","تذكر سلوك المتتالية الهندسية qⁿ عندما يكون |q| < 1.","3","∞","غير موجودة","صفر","A. 3","بما أن الأساس 0.5 محصور بين -1 و 1، فإن القوة (0.5)ⁿ تسعى للصفر عند اللانهاية، فيبقى الثابت 3."
